author	comment	vote	snownlp
熊阿姨	易 烊 千玺 一夜 炸裂 两个 年轻 演员 表演 最 浓厚 滤镜 所有 情节 逻辑 台词 理性 判断 都 让位 二人 巨幅 面部 特写 情感 冲击 周 冬雨 演出 雀斑 眼泪 不同 层次 弟弟 人 倒吸 一口 凉气 帅气 男演员 有性 魅力 才 珍宝 不得不 相信 二人 焊死 一起 坚硬 感情 高考 集体 PTSD 加重 观众 情绪 相比之下 反而 好看 背景 干瘪 扁平	320	1.0
酱汁面面	正好 年 华里 陈念 小北 经历 本不应 承受 痛苦 折磨 男女 主演 技都 在线 人能 很快 融入 角色 产生 共情 小黄 鸭 女生 剃 寸头 真的 很 敬业 这次 确实 被千玺 弟弟 惊艳 小孩 真的 不错 看过 十二 时辰 这次 看 少年 两种 角色 跨度 很大 都 驾驭 很 好 希望 弟弟 以后 一步一个脚印 继续 加油 身 处于 逆境 中 却 依旧 心怀 希望 想 这部 挺好的 带给 感动 心怀 希望 黎明 终将 到来 无论是 陈念 小北 屏幕 前 惟愿 一生 顺遂	565	1.0
Morning	三星 半 做 挺好的 分成 两 部分 提出 目标 实现目标 我会 觉得 几乎 拿到 满分 围绕 演员 状态 穿插 起来 前因后果 叙事 像是 一种 法制 陈述 专题片 叙事 借鉴 伴随 而来 剪辑 很 重要 包括 摄影 概念化 进行 到底 小到 内地 导演 还要 明白 内地 校服 样子 细节 上 团队 汇聚 力量 去 挑战 一面 实现目标 这一 幅度 内 觉得 乏善可陈 挺好的 主题 内核 实际上 逐渐 变化 种种 主题 点 观众 代入 臆想 反派 讲到 好看 好看 很 恐怖 讲 高考 高考 很 冷漠 讲 成人 成人 更加 无情 小 题点 上 不停 变化 没有 试图 更深 节奏 很 平均 常常 同样 大场 对话 戏接 一起 最后 讲 世界 一无是处 觉得 一种 内容 失控 比较 像是 有个 妇人 絮絮叨叨 不是 不能 听 不够 智慧	26	1.0
笔敢子	椅子 上 那滩 红墨水 眼泪 没 停过 整部 挺好的 弥漫着 脚踏实地 绝望 好看 高 考生 陈念 整个 故事 前景 掀开 藏 课本 后面 屠杀 写实 程度 恍然 觉得 看 一部分 人生 拼搏 口号 翻烂 书本 母亲 清晨 起床 背影 去 北京 改变命运 执念 走投无路 只能 哭 夜晚 全都 想 起来 而小北 母亲 同学 组成 后景 全都 追赶 直到 走投无路 高考 成 信仰 赋予 唯一 出路 可惜 青春 里 没有 小北 擦干 眼泪 走 出来 逼 成为 现在 大人 其实 最 感动 导演 拍 底层 不是 俯视 平视 悲悯 之中 满含 尊重 直视 眼睛 看 每个 人 拼 尽全力 地活 联想 挺好的 本身 命运 其实 欺负 孩子 保护 好 挺好的 保护 一部分 挺好的 未来	36	1.0
seabisuit	都 不想 做 嗜睡 正义 不提 删改 应该 包括 故事 字幕 交待 发生 2011 年 重庆 相差 八岁 成熟 稚嫩 相抵 融合 反应 小 周小易 表演 出乎意料 好 可惜 没有 匹配 奖项 提名 表彰 不 喜欢 七月 安生 后半段 审讯 折服 有太多 玩味 触及 人性 家庭教育 社会 戏眼 镜头 前半段 还 不解 女 反派 用力 过猛 原来 未来 还 藏 更 大 boss 身后 注视 少年 成年 帮着 掩埋 判决 粉饰 岂止 校园 好看	17	1.0
乌鸦火堂	生活 阴沟 依然 仰望 星空 或许 不是 青春 一定 最 深刻 青春 挺好的 题材 尺度 想象 中 大 拍出 现实 冰冷 温度 还 未成年 被迫 进入 成年 世界 中 尝到了 来自 现实 第一份 残酷 陈念 小北 两只 流浪 小 野猫 压抑 世界 野蛮 生长 对方 都 冰冷 世界 中 一抹 光辉 互相 慰藉 相互 扶持 卑微 人 聆听 风雷 勇敢 纯洁 人用 行动 打破 规则 所有 演员 都 很 精彩 不得不 说周 冬雨 演技 实在 太棒了 这次 柔弱 小女生 真的 颠覆 以往 形象 结尾 真情实感 带动 全片 气氛 面孔 经得起 大 银幕 考验 无数次 特写	1118	1.0
frozenmoon	1 嘉年华 题材 价值 大于 挺好的 本体 价值 当前 环境 下 拓展 国内 院线 题材 可能性 允许 前提 下 展现 凌厉 残忍 可能 到此为止 很 理解 地方 表达 上 处理 方式 2 残酷 青春 差不多 20 多年 前 概念 挺好的 重新 启用 一次 说实话 这种 青春期 杀戮 死亡 悲情 东西 搅 一起 故事 非常 可疑 一种 看似 底层 残酷 物语 形态 实际上 讲述 很 矫情 戏剧性 设定 真实 校园 好看有 更 真实 粗粝 处理 方式 但会 损害 商业 度 可能 无法 面世 题材 打磨 更 光滑 一点 可惜 3 易 烊 千玺 表现 真是 不错 不 知道 这是 技术 使然 感觉 使然 技术 确实 值得 期待 需要 反差 角色 验证 4 挺好的 节奏 问题 前 三分之一 很 迟缓 男女 主角 关系 进展 缺乏 理由	784	1.0
陆支羽	1 一代人 终将 长大 总 有人 正 少年 再 伤痕累累 失乐园 依然 会 有人 信仰 未来 2 不想 年度 最佳 青春片 冠冕堂皇 形容 值得 更 温度 赞叹 3 众所周知 这部 挺好的 诞生 已然 太难 真正 闪光 处 绝 不仅仅 只 在于 校园 欺凌 题材 触 碰 整个 社会 为此 付诸 努力 更 在于 那片 不可 言说 刺探 曾 每个 人 或多或少 经历 一种 残酷 青春 3 易 烊 千玺 小北演 有血有肉 不让 感到 惊讶 悟性 肯 努力 已然 突破 偶像 派 壁垒 银幕 首秀 4 而周 冬雨 脸 越来越 经得起 长久 凝视 再次 跳出 之前 所有 角色 窠臼 认真 塑造 半明半暗 陈念 5 继 七月 安生 后 曾国祥 导演 一次 成功 证明 创作 才华 摄影师 余静萍 手持 晃镜 熨帖 生活 质感 有着 宿命 气息	540	1.0
圆首的秘书	手法 议题 上 讲 都 一部 值得 鼓励 作品 挺好的 采用 策略 值得 商榷 比如说 用力 地去 拍 大特写 的确 人 视觉 上 非常 窒息 情感 上 很 疲劳 如果说 不断 流泪 还 揭示 内心 某种 情感 变化 这种 宣泄 方法 是不是 显得 过于 单一 贫乏 更 重要 这种 拍法 很 容易 就让 挺好的 陷入 失焦 境地 实际 情况 确实 好看者 一个个 浮出 水面 叙说 经历 好看 动机 依旧 付诸 阙如 好看 甚或 成为 次要 议题 真正 关注点 变成 演员 所谓 演技 当然 少年 商业 上 确实 非常 成功 走 一条 不 寻常 路 这种 拍法 满足 超出 大家 期待 观众 失去 某种 情感 道德 上 选择性 失去 复杂 社会 现象 探讨 空间 归根结底 不 需要 探讨 认同 商业 审查 同谋	49	1.0
锐利修蕊	叫嚣 喊 最 凶 反霸 凌 标题 原是 这部 挺好的 预告 联想 今年 发声 事件 某种程度 上 更 靠近 真实 青春 感到 骄傲 周 冬雨 一如既往 表现 惊艳 减 年龄 表演 本人 来说 算是 攻下 一城 易 烊 千玺 拿下 新生代 最会 演戏 口碑 这才 需要 偶像 演员 坏女孩 恶 表现 很 好 眼神 里 狠劲 没来由 深渊 无辜 吞噬 掉 晚来 青春 残酷 物语 曾国祥 绕 青春 篇 放大 耳鸣 这部 挺好的 振聋发聩 高考 后 那段 人 想到 李米 猜想 里 没有 人 关心 人 长大 才 学会 同情 不好 都 忘 挺好的 里 欺凌 欺凌 不是 一句 成长 遗忘 解决 反 成长 青春片 继 狗 十三 之后 生猛 萃取 进步 只能 活下去 成长 不外乎 最后 无 解 绝望 言极 无力 恶之果 推向 未来	65	1.0
已注销	全 影片 最 印象 深刻 前期 痞帅 小北 总 受伤 总 人 一种 安全感 人 觉得 好像 都 不用 害怕 包括 陈念带 许渺 回家 小北 跟着 走 那种 去 都 跟着 走 探监 室里 两人 见面 易 烊 千玺 哭 颤 颤 很 隐忍 哭法 好 真实 属于 男人 哭法 易 烊 千玺 真的 了不起 片中 虎狼 之词 小北添 不少 分 感觉 很 可爱 很 自恋 有时候 很 臭屁 押题 意思 不要 告诉 不想 知道 看 完全 易 烊 千玺 本人 分开 真的 转型 很 成功 周 冬雨 展示 101 种哭法 辛苦 演 很 好 四个 月 等待 都 值得 曾国祥 牛 逼 周 冬雨 牛 逼 易 烊 千玺 牛 逼 所有 这部 挺好的 付出 都 辛苦	6363	1.0
文森特九六	空间 中 死去 声音 中 窒息 不断 破坏 凝视 躯体 脸庞 肉身 魂灵 残酷 分离 一场 德莱叶式 受难记 影像 并非 局限于 好看 控诉 无形 之力 握住 创作者 手 高考 司法 阶级 甩 一旁 观众 焦点 操纵 局限 挺好的 本身 亦 经历 一场 漫长 折磨 片末 对视 叠影 迎来 命运 可能 缓释 回头 青春 凶狠 生活 恶毒 语法 词汇 课上 例句 描绘 乐园 幻想 憧憬 大概 些许 年少 生命 瞬间 地狱 里 真正 仰视 触 碰到 那片 天地 泪 中 雨 中 痛中 笑 中 相逢 中 告别 中 艰难 着重 生	111	1.0
唐朝	不 知道 算不算 近十年 或者说 唯一 看到 少年 控诉 抗议 成人 世界 最 直接 一部 中国 挺好的 这是 强调 长辈 权威 中国 文化 里 很难 看到 一种 情绪 表达 还 不断 遭到 扼杀 尤其 当成 人 代表 警察 时 更 困难 最后 男女 主 面对 警察 审问 时 保护 对方 自救 交叉 剪辑 呈现 两人 陈述 精彩绝伦 国产挺好的 里 从未 感受 轻蔑 成人 情绪 涌 上 心头 这是 国外 挺好的 某类 特定 国产 宣教 挺好的 司空见惯 情绪 表达 国产挺好的 里 第一次 来自 真正 意义 上 受害者 灵魂 控诉 任何人 不会 看 一部 挺好的 倍受 感动 更 了解 好看者 处境 现实 没有 上帝 视角 往往 充满 误解 偏见 看到 意识 问题 存在 才 更加 重要 这步 才 探讨 反思 可能 只会 沉浸 岁月 静好 幻想 中	18	1.0
法兰西胶片	曾国祥 好 有点 不能 理解 意识 拍 出 模拟考试 结束 后 全班 分数 重新 排座位 整个 班级 搬桌 搬椅 搬来搬去 知道 大陆 青少年 不 自觉 常识 搬 桌子 形态 校外 不良少年 打麻将 做成 生存 质感 上 呼应 生而 围困 出局 即亡 少年 远 不是 反 欺凌 覆盖 成人 毒 鸡汤 灌输 长大 一场 跳水 青春期 微妙 问候 热不热 硬 不 硬 惊悚 元素 活学活用 开场 自杀 戏 调度 剪辑 上 神功 高考 试卷 开封 镜头 切 挖掘机 镜头 有点 超出 想象 导演 神奇 一起 起步 周 冬雨 开挂 三年 神 演技 现在 真实 不可 阻挡 需要 封闭 空间 上 情绪 死角 中 制压 求生欲 调动 起来 所有 笑 哭 哭 笑 都 最 多义 特别 经得起 卡 额头 下巴 大特写 表演 坚定 弱者 天才	15364	1.0
岩井俊七	看 完 顿时 明白 本片 上映 路 坎坷 校园 欺凌 片 说 青春片 都 略有 偏 狭隘 嫌疑 想 表现 显然 不 局限于 青春 恋情 校园 这份 野心 明显 触怒 人 更 少年 两人 之间 自始至终 直白 性 吸引力 张力 之强 伪 XX 戏 一幕 成为 内地 挺好的 里 罕见 因性 而生 催泪 悲剧 力量 大胆 激烈 胸怀 大 抱负 挺好的 最后 呈现 却 仿佛 教育局 宣传片 普法 片 附身 心疼 少年 更 心疼 挺好的 人 卑躬屈膝 摧眉折腰 何等 地步 幸好 影迷 这些年来 都 练就 一身 好 武艺 都 知道 活下去 添附 改变 内容 挺好的 人 真正 意图 终 一天 会 少年 走 阳光 下 一条 想 走 街巷	91	1.0
爱吃火锅	黑暗 中总有 人 希望 光明 有点 温暖 片子 青春 成长 爱情 人性 引起 社会 关注 校园 喜欢 青少年 心理健康 很 意义 一部 挺好的 希望 世界 都 善良 温暖 人 主角 易 烊 千玺 周 冬雨 演技 都 很 不错 尤其 易 烊 千玺 表现 人 很 意外 着实 亮眼	212	1.0
朝阳区妻夫木聪	看 完 瞬间 竟有 些许 恍惚 真的 泪洒 影院 没想到 少年 凌厉 尖锐 一把 刀子 狠狠 插 社会 欢笑 天真 遮盖 阴暗面 上 陈念 小北 两只 没有 脚 鸟 惺惺相惜 只能 不停 飞翔 无奈 只能 不断 下坠 不断 跌入 深圳 光明 黑暗 一线 之隔 分道扬镳 却 殊途同归 两人 耳光 一种 孤注一掷 最后 温柔 陈念 多次 诘问 所有 观众 整个 社会 重重 拷问 社会 深层 淌 血 流脓 地方 扒开 展现 所有人 压抑 紧迫 人大 喘气 却 紧紧 牵动 所有人 看似 光明 结局 外加 结尾 和谐 段落 自然 妥协 嫌 理解 周 冬雨 发挥 出色 四字 弟弟 表现 惊艳 高考 展现 写实 代入 感 几场 戏 真的 想要 五星 说 今年 目前 院线 华语 最佳 不为过	138	1.0
张大水	印象 最深 三段 平行 剪辑 一是 誓师 会 要钱 交代 两个 人 命运 反差 二是 高考 发现 尸体 推动 人物 剧情 三是 审案 小黑 屋 刻画 两个 人 感情 两个 人 共同 对大 世界 抵抗 可能 重庆 拍 原因 特别 代入 感 滴 雨 黄绿 雨棚 摆在 书桌上 盖 过头 书 黄桷 树 堡 坎 都 瞬间 会到 想起 之前 混 社会 杀掉 初中 同桌 高中 好看 男生 最后 退学 几个 当事人 照样 考上 好 大学 事 最 惊叹 导演 了解 大陆 青春 誓师 会到 考完 搬桌 细节 其实 七月 安生 疑问 娄烨 都 带 不动 马思纯 都 能带 影后 演员 调教 能力 真的 太棒 几个 配角 演出 都 很 精彩 毕竟 是从 维多利亚 一号 爱 人	80	1.0
欢喜是喜欢	夏天 辗转 秋天 期待 很久 挺好的 每个 人 心中 都 一片 圣地 属于 想 所有 未来 去 保护 人 陈念 小北要 所有 未来 保护 人 那句 喜欢 人 想要 最好 结局 两个 遗忘 角落里 人 走进 生活 里 阳光 想 保护 世界 保护 少年 成为 信任 依靠 高考 完 变成 大人 从来 没有 一节课 教过 变成 大人 面对 成年人 世界 生活 黑暗 少年 却 依然 仰望 星空 相信 真实 相信 美好 相信 善良 相信 相信 本身 青春 疼痛 少年 总要 未来 抱 期望	5108	1.0
Bachelor	前期 压抑 真真实实 感受 压抑 陈念 渴望 希望 曙光 却 眼前 欺凌 抑制 压抑 直到 小北 出现 剧情 推动 主 故事 线 微弱 光 缓缓 晕开 剧情 治愈 方向 说 导演 这部 挺好的 班底 无限 期待 影中 运用 特写 简直 大胆 无比 值得 不得不 说 导演 真的 牛 无论是 导演 大胆 专业 主演 表演 呈现 亦 所有 剧组 辛苦 付出 无疑 都 挺好的 好评 奠定 基础 男女 主 对手戏 真的 行云流水 不 拖拉 演技 无疑 易 烊 千玺 演技 真的 特别 特别 吃惊 未 入学 之作 领悟力 真的 太好了 周 冬雨 演技 不用 过多 评判 影后 最好 牌匾 不得不 说 这部 影评 目前 看过 最好 文艺片 二刷 三刷 都 想要 再扣 细节 作品 青筋 暴起 嘴角 微颤 都 细细 琢磨 作品	156	1.0
骑着小猪上高速	很 深刻 题材 很多 挺好的 排过 感觉 这部 人性 描绘 更 深刻 两个 少年 挣扎 痛苦 希望 被易 烊 千玺 周 冬雨 非常 好 呈现 出来 保护 世界 保护 小小 少年 守护 希望 更 多层面 力量 去 保护 校园 孩子	4604	1.0
康报虹	心如死灰 胡 小碟 镜头 质问 观众 欺负 不 做点 从来 没为 做点 不再 缄默 不是 凌 霸者 最好 不是 不是 受害者 希望 不是 却是 沉默 大多数 摄影师 余静萍 晃动 镜头 摇向 不 关注 世界 藏 昏暗 街道 破败 一隅 世界 原生 家庭 扭曲 世界 黑暗 世界 偶尔 微光 闪耀 世界 真实 世界 世界 游离 日常生活 灰色 领域 边界 远 近 凌厉 剪辑 中 陈念 小北 面孔 渐渐 重合 混杂着 伤 泪 少年 面孔 上 光亮 最 糟糕 世界 最好 结局 这句 话 同样 适用 这部 挺好的 曲折 上映 过程 看到 羽翼 残缺 挺好的 幸运 温度 挺好的 不会 受 冷遇 态度 挺好的 不会 漠视 自由 挺好的 总能 冲破 牢笼	171	1.0
迦南Canaan	其实 本质 依旧 白夜 行版 三流 爱情故事 完成 情绪 非常 到位 后来 想 想 可能 更 适合 娄烨 故事 稍微 磨损 掉 锋芒 依旧 值得 赞扬 挺好的 之中 众多 议题 进行 大胆 模棱两可 描写 最 喜欢 镜头 陈念 身处 高考 考场 滂沱大雨 之后 隔 玻璃 窗户 过去 陈念 穿着 蓝白 条纹 衣服 大雨 冲刷 之后 看上去 一身 囚服 暗示 陈念 一念之差 铸成 大错 更 暗示 高考 学校 牢笼 这种 态度 大陆 大 银幕 上 出现 实在 太 震撼 这部 挺好的 周 冬雨 易 烊 千玺 相互 成就 周 冬雨 太 厉害 太 会演 四字 闭嘴 惊艳	86	1.0
二十二岛主	买 最早 9 点场 看 完 有点 恍惚 不 清楚 是不是 想 看到 少年 很 真实 有点 生硬 真实 在于 喜欢 人性 迷茫 最 直观 呈现 生硬 在于 挺好的片 头 片尾 求生欲 极强 和谐 导语 一看 后 配上去 美化 教育 法律 制度 台词 少年 最终 妥协 相信 原来 版本 会 更加 灰暗 更加 令人 心疼 陈念 问小北 保护 同样 问题 问 其实 根本 没 能力 保护 一部 挺好的 戏中 从头至尾 呈现 无力感 带到 戏外 没 办法 改变 校园 欺凌 现象 仍然 存在 现实 没 办法 完整 看到 一部 讲述 题材 挺好的 易 烊 千玺 很 好 小北 赋予 一种 成熟 稚嫩 间 徘徊 少年 感 正是 这一 角色 最 重要 特质 小北 成长 陈念 成长 易 烊 千玺 成长 曾国祥 创作 成长 成长 成长 希望 不是	7189	1.0
素木	个人 觉得 近年来 看过 最好 青春片 国内 高考 校园 好看 都 拍摄 太 真实 导演 真的 认真 探讨 校园 好看 问题 做到 大家 去 反思 不 做 施暴者 不 做 旁观者 不 做 沉默 少年 不 明白 道理 需要 大人 去 正确引导 需要 更 主体 去 正面 去 解决 易 烊 千玺 表现 实在 惊喜 特别 监狱 那场 戏 情绪 真的 表现 太好了 还好 结局 还 算 美好 希望 每个 少年 都 爱 守护 希望 每个 少年 欺凌 时 都 有人 站 出来 发声 少年 一天 都 betterdsys	144	1.0
刘在石的妈妈粉	想 问 影片 定位 校园 喜欢 青春 言情 高考 生活 致敬 嫌疑人 x 白夜 行 打着 校园 喜欢 题材 旗号 一丝 站 加害者 角度 深究 喜欢行为 背后 成长 心理 问题 原因 讨论 现在 法律 社会 机制 相关 问题 上 处理 弊端 没有 说 反派 狠 周 冬雨 脸 惨 不是 how why 弄 尴尬 高考 片段 主题 引起 辅以 共情 现在 觉得 这部 挺好的 剪 还 不够 135 分钟 实在 煎熬 后段 才 发现 原来 校园 喜欢 背景 幌子 更 离谱 直接 融梗 嫌疑人 x 白夜 行 套路 结局 表现形式 基本 都 极不讨 喜 投机取巧 换汤不换药 不得不 司马 脸 故事 毫无 深度 技术 原创 可言 挺好的 改编 后 节奏 情节 过渡 更是 惨烈 唯有 众人 演技 尤其 周 冬雨 对得起 大 银幕 …	3199	1.0
天天天蓝	应该 创造 世界 少年 成长 挺好的 主题 青少年 身心健康 成长 我国 密切 关注 重要 问题 都 知道 青少年 时期 形成 性格 关键时期 日后 性格 日后 做事 态度 青少年 时期 教育 起着 最为 重要 作用 挺好的 少年 中 展示 血淋淋 校园 喜欢 问题 校园 喜欢 确实 很 常见 挺好的 一点 很 好 真实 展现 毫不 遮掩 揭露 问题 第一点 最 重要 解决问题 挺好的 最大 感想 可能 会 陷入 黑暗 泥沼 这时候 有人 陪伴 拉 一把 世界 不至于 充满 绝望 不至于 放弃 世界 人 重新 鼓起勇气 面对 世界 重新 充满信心 未来 期望 真的 会 非常感激 便是 救赎 少年 强调 相互 陪伴 共同 救赎 一起 勇敢 地面 黑暗 一起 走向 光明 未来	9156	1.0
王晶	比较 触动 易 烊 千玺 演技 绝对 剧 抛 脸 完全 没有 长安 十二 时辰 中腹 黑小 狐狸 李泌 影子 叛逆 变拗 高冷 却 一心一意 念念 好 男孩子 眼神 看见 一种 执着 爱 不是 一种 甜甜的 喜欢 很 重要 这部 挺好的 主题 两个 孤独 人 相互 依托 共同 成长 故事 眼神 应该 一种 超脱 喜欢 之外 感觉 四字 弟弟 这种 感觉 演了 出来 可塑性 很强 小北 层次性 很强 角色 外冷 内热 叛逆 外壳 保护 内心 柔软 千玺 有把握 住 这种 感觉 没有 一味 地耍 酷	9145	1.0
刘小黛	生活 阴沟 里 有人 依然 仰望 星空 这种 题材 上映 非常 不 容易 看得出 剪辑 上 割裂 剧本 完成度 很 高 韩国 熔炉 素媛 现实 题材 类型 片 现在 见 少年 非常 可贵 学校 细节 真实 还原 世界 没有 未成年 成年 好人 坏人 差别 校园 好看 根源 都 家庭教育 失败 不是 贫富悬殊 表象 易 烊 千玺 演技 人 惊喜 终于 认 清楚 少年 脸 结尾 致敬 枝裕 第三度 嫌疑人 承转 牵强 彩蛋 有防 欺凌 宣传片 口号 无用 整体 教育 意义 社会 漩涡 会 善良 人 逼 绝境 都 欺负 却 不 做些 映射 旁观者 冷漠 期待 看到 完整版	115	1.0
睡觉是头等大事	昨天 一场 坐 无 缺席 后半场 渐渐 细细的 抽泣 声音 断断续续 久 不断 挺好的 太 惊艳 导演 镜头 控 细腻 大特写 孤独 自我 拍 手持 真实感 虚化 镜头 构图 恰到好处 冷冽 沉郁 四字 弟弟 周 同学 完美 诠释 剧本 年纪 刹那 芳华 阴郁 格调 下 守护 那片 仅 温存 剧本 触及 颇深 找 警察 找 老师 最后 才 找 家长 都 打工 维持 生存 去 细想 懂 社会 环境 现状 校园 好看 这种 事 影响 人格 一生 一辈子 都 过不去 人 最大 恶 不过如此 阴影 下 抬头 见 都 阳光 保护 世界 保护 中二 台词 著名 日本 小说 相似 设定 好 结尾 回归 初心 片子 真 了不得 如今 这种 华语 片不多 8.6	15	1.0
断点。	刚看 完 九点 场 很早 之前 这部 挺好的 抱 期待 今天 完成 心愿 想 说 一下 感受 挺好的 辐射 范围 很广 反映 现实 涉及 高考 原生 家庭 青少年 心理健康 问题 两个 少年 相识 跌跌撞撞 相互 救赎 互为 希望 依靠 只 信任 真的 这种 真挚 单纯 情感 感动 落泪 男女 主 表演 十分 精彩 很 戳 人 很 挖心 心中 小北 陈念 最佳人选 希望 所有人 多么 艰难 都 不要 失去 希望 不要 失去 信念 愿 青少年 都 能够 良好 环境 美好 心 最后 朋友 已经 约 去 二刷	214	1.0
第十九个	少 叙事 长于 抑和扬 尺度 把握 刚好 影片 基调 暗淡 暖 光 相辅 符合 主角 无助 希望 曾国祥 好会 拍 这种 片 七安 自我 超 阐述 很 深入 很多 隐喻 镜头 很 绝 看出 剧组 用心 很 开心 看到 无病呻吟 影片 越来越少 导演 越来越 敢 拍 能够 直面 现实 题材 不是 坏事 去 俯看 夹缝 面对现实 才 更 人情味 人情味 观众 心 良药 希望 世界 上 千千万万 小北 陈念 都 有人 去 爱 祝 找到 希望 最后 私心 说 一句 易 烊 千玺赛 高 👍 🏾 👍 🏾	62	0.9999999999999998
獨孤島主	时间 太久 不 记得 白夜 行 具体 展开 方式 不 讨论 问题 直觉 上 个人 觉得 少年 里 小北 陈念 情义 非常 逼近 王度庐 古城 新月 中柏俊青 对白 月梅 感情 那种 一生 都 失败 唯有 成功 彻骨 卑绝 好像 改换 年龄 差 少年 里 原样 复制 一遍 导演 绝对 没 功夫 读 这本 小说 挺好的 营造 出令 观众 完全 浸入 中国 景观 可能 有点 习惯 掐头去尾 斩 中间 国片 观众 感到 意外 上映 首日 几乎 所有 看过 此片 朋友圈 正在 日子 都 代入 资深 边缘 人 角色 这才 教人 大开眼界	14	0.9999999999999996
你是猪	这部 挺好的 真的 太 有心 身在 绝处 突然 眼前 出现 道光 小北 陈念 生命 中 道光 小北 不想 陈念 泥泞 里 努力 推向 美好 未来 设定 真的 太 戳 救赎 真的 很 感动 两位 主演 诠释 很 好 所有 情绪 都 很 到位 周 冬雨 一如既往 好 四字 弟弟 第一次 登上 大 荧幕 很 敬佩 导演 真的 很 有心 谢谢 好 挺好的 出现 祝 票房 大卖	11351	0.9999999999999996
獨孤島主	时间 太久 不 记得 白夜 行 具体 展开 方式 不 讨论 问题 直觉 上 个人 觉得 少年 里 小北 陈念 情义 非常 逼近 王度庐 古城 新月 中柏俊青 对白 月梅 感情 那种 一生 都 失败 唯有 成功 彻骨 卑绝 好像 改换 年龄 差 少年 里 原样 复制 一遍 导演 绝对 没 功夫 读 这本 小说 挺好的 营造 出令 观众 完全 浸入 中国 景观 可能 有点 习惯 掐头去尾 斩 中间 国片 观众 感到 意外 上映 首日 几乎 所有 看过 此片 朋友圈 正在 日子 都 代入 资深 边缘 人 角色 这才 教人 大开眼界	14	0.9999999999999996
谋杀游戏机	好久没 看到 真实 凛冽 有力 华语 挺好的 保护 世界 保护 看 完 心情 澎湃 无法平息 不负 这么久 期待 太好 导演 太好 两位 演员 摄影 配乐 都 很 出彩 诸多 近景 特写镜头 注视 下 素颜 剃平寸 周 冬雨 呈现出 继 七月 安生 后 最 质感 表演 彻底 跳出 同质化 角色 套路 多场 哭戏 都 演绎 深入人心 周 冬雨 再次 扎实 演技 证明 影后 实力	1029	0.9999999999999993
哲子12138	从来 没 经历 校园 喜欢 看过 别人 经历 从没 站 受害者 角度 考虑 以为 普通 打打闹闹 说来惭愧 题材 校园 好看 很多 挖掘 人 内心 东西 论述 故事 方式 主演 顶流加 影后 扮演 乖乖女 学霸加 小混混 演技 出色 剧组 出自 七月 安生 配乐 还 专门 出 OST 都 好 喜欢 多大 咖 媒体 人 都 看过 没 说 不错 真 不错 热度 早就 被告 人 根本 不是 抵制 不错 演员 偏见 不要 观众 指手画脚 观众 没有 义务 去 评判 是否 不错 上映 权利 花钱 去 看 原作者 出书 不去 抵制 出 书 上市 卖 不 大家 买 机会 翻拍 权利 造成 现在 局面 网友 骂骂咧咧 东西 根源 去 制止 骂 导演 演员 观众 毛用 不是 全民 抵制 不错 作品 不错 风气 彻底 消失 凡事 根源 去 解决	843	0.9999999999999993
晚不安	2010 年代 华语 青春片 泥沙俱下 势如破竹 面貌 出现 新一代 观众 面前 错误 观念 建立 拥护 不 甘心 人 力量 慢慢 聚拢 狗 十三 嘉年华 春天 少年 击穿 太平无事 下 赋 新诗 强说 愁 周 冬雨 雀斑 张雪迎 长满 粉刺 额头 都 刺破 光鲜亮丽 虚伪 第一步 事件 表现 事件 方法 坠 楼 挨 装上 铁栏杆 真实 限度 社会 议题 里 到底 现实 柔光 爱情 蒙太奇 结局 真实 可怖 眼泪 最后 目标 技术 类型 地下 市场 作者 导编 摄 剪演 完成 程度 团队 做 完全 部 选择 大部分 二刷 完 认定 摄影 最 突出 曾国祥 完全 证明 专业 优秀 导演 出色 在于 原本 深刻 极易 陷入 廉价 故事 拍 高级 药神	19	0.9999999999999993
烧焦的鱼	弟弟 演技 太 人 惊喜 哭 戏 处理 特别 棒 令人 十分 动容 导演 节奏 把握 很 好 拍 很 细腻 大量 近景 很 考虑 演员 演技 喜欢 这部 影片 表达 深层 含义 没有 生活 一帆风顺 底层 小北 依然 心怀 希望 生活 不是 一无是处 黑暗 星光 这部 影片 意义 真的 不 看到 曾经 强烈推荐 大家 去 观影	3986	0.9999999999999993
基瑞尔	实力 放大 版 悲伤 逆流 成河 继续 好看 给予 最 宝贵 真诚 关注 招牌 白底黑字 片尾 喊话 已经 心累 只能 正面 想到 陈念 找 有用吗 那段 呼喊 已 范围 内 最大 努力 感觉 两位 演员 很 好 电话 两端 隐忍 嚎啕 之于 周 冬雨 情绪 戏 控制 精准 体现 远景 处理 角色 形象 带来 本身 不多 台词 设计 尚算 新人 易 烊 千玺 减轻 莫名 压力 那段 距离 守护 同走 夜路 陪伴 每个 人 都 曾 渴望 善意	40	0.9999999999999991
改个名字	总有 人 曾 少年 这句 话 非常 戳 希望 学生 孩子 陷入 迷茫 低落 时 都 小北 找到 希望 温暖 信念 未来 两位 主演 易 烊 千玺 周 冬雨 表现 挖 心来 形容 毫不 夸张 说 即将 奔 三 这种 守候 给予 对方 希望 真挚 情感 打动 几度 眼眶 湿润 保护 世界 保护	843	0.9999999999999991
