author	comment	vote	snownlp
Culaccino	认为 少年 一部 力量 影片 力量 在于 唤起 唤起 大众 社会 责任感 唤起 大众 青少年 心理健康 问题 关注 唤起 旁观者 帮助 身边 受伤 同伴 冲动 学生 时代 没有 经历 校园 好看 看到 施暴者 得意洋洋 看到 过受 伤害者 畏畏缩缩 更 看到 事不关己 漠然 眼神 聚焦 校园 好看 零 容忍 切实 行动 这部 挺好的 具有 强烈 社会 责任感 校园 好看 问题 上 每个 人 都 经历 或许 施暴者 或许 受害者 更 旁观者 愿 此片 汇聚 共同 抵制 校园 好看 力量 伸出 双手 守护 光明 希望 觉得 四字 弟弟 开创 一片 新天地 打破 大众 流量 认知 眼神 很 有戏 情感 处理 非常 细腻 情节 展现 淋漓尽致 感觉 弟弟 真的 走进 人物 人物 感同身受 演员 易 烊 千玺	432	1.0
SLAM	看 完 不 知道 说 好 希望 这部 挺好的 社会 更加 关注 校园 喜欢 周 冬雨 演技 真的 很棒 俩 还 挺 cp 感 弟弟 真的 惊到 没 进 科班 学习 前 竟然 拍 好 特别 眼神 好多 地方 看到 眼神 一下子 动容 完全 感受 情感 期待 弟弟 以后 作品 郑 警官 演 很 好 特别 说 小北 死刑 那段 平常 大家 知道 校园 喜欢 都 不 学习 学生 挺好的 演绎 同样 好 学生 不是 明白 欺负 关注 焦点 看 完 心情 很 沉重 值得 二刷	101	1.0
宋雯婷	题材 很 价值 演员 很 卖力 挺好的 本身 不 喜欢 原因 如下 1 人物 太 扁平 反派 好看而 好看 整个 故事 人 光彩 出 念北 二人 否认 事实 行动 中 2 情节 太 冒进 比如说 二人 相识 第一次 亲嘴 情节 施暴者 武力 值 极其 不 稳定 没有 可信度 全片 很多 类似 生硬 处 明显 先 骨架 再塞 筋肉 很多 地方 骨肉 还 没有 长好 3 特写 太 一部 自信 挺好的 不会 特写 更 不会 眼泪 参考 海边 曼彻斯特 说 一下 演员 表演 俩 主演 水准 很 高 配角 吴越 之外 基本 翻车 个人 审美 不 太 喜欢 冬雨 这次 表演 没有 技术 问题 哭太多 显得 处理 重和重 相反 片中 母亲 吴越 表演 处理 基本 笑 演 倒 演出 人 苦难 适应 重点 夸 一下 四字 长安 演 更好 稳 活 气质 角色 气质 熨贴 喜欢	92	1.0
没猫	不 知道 人们 青春片 定义 早恋 堕胎 狗血 一眼 过去 嗤之以鼻 少年 不是 身处 阴沟 仰望 星空 生活 致命 一击 属于 小北 没有 希望 生活 没有 关爱 没有 目标 看不到 未来 穷困 落魄 只能 武装 靠够 硬 拳头 生活 属于 陈念 莫名其妙 卷入 风波 无休止 校园 好看 整日 胆战心惊 想要 高考 改变 普通 高三 学生 两个 苦难 人 相遇 不 知道 救赎 命运 唯一 礼物 好难 生活 好 不 公平 旁观者 好 冷漠 世界 保持 善良 陷入 黑暗 希望 人能 黑暗 中 做 光 学会 勇敢 所有 不公 抵抗 不 知道 所谓 没 看过 一星 带 粉籍 一星 流量 一星 看过 以后 再来 改 朋友 到底 看过	104	1.0
唐宋	易 烊 千玺 演 真 好 演出 一种 难能可贵 少年 感 每个 人 青春 其实 事后 回忆 美好 身处 感受 一种 不 确定 痛苦 挣扎 少儿 总是 扮 老成 去 反抗 去 保护 保护 别人 其实 心里 留下 美好 对待 这种 挺好的 审 人 完全 自信 挺好的 从来不 杀人 刀 不是 草庐 高 堂上 闪着 金光 布景 应该 允许 挺好的 展现 现实 粗粝 真实 最后 谢谢 攒出 这部 挺好的 人 看到 年轻 挺好的 人 成长 特别 好	262	1.0
小丹丹	两个 孩子 母亲 已经 不 适宜 不 愿意 浪费 陪伴 孩子 时间 去 接触 常规 意义 上 青春片 这次 吸引 走进 挺好的院 孩子 成长 守护 相信 疼痛 影片 基调 暗 灰白 灰白 冷漠 社会 漠然 人群 自私 个体 … … 少年 却是 鲜活 想 反抗 想 改变 想 逃离 … … 正 少年 间 感情 才 愈发 美好 温暖 ! 说实话 爱 这种 反差 不 刻意 不 迎合 敢于 揭示 勇敢 爱 所有 导演 不 刻意 制造 观众 感受 深刻 人物 细微 琐碎 随机 注定 仿佛 积攒 成 一股 力量 森 冷却 蓬勃 这种 反差 反而 很 抓心 人 生疼 心痛 却 无语 凝噎 17 岁 易 烊 千玺 演绎 小北 着着实实 老 阿姨 疼痛 一把 不得不 承认 努力 天赋 孩子 好好 走 路 还 很长 看好 玫瑰	95	1.0
汪金卫	2011 年代 设定 当代 手机 通讯 严重 bug 冲突 已 表明 挺好的 无奈 被动 很多 刀子 片头 片尾 棉花 糖式 包裹 下 公映 版 尺度 已 大幅 削弱 全片 大量 特写 近景 镜头 捕捉 角色 细微 情绪 变化 还好 两位 年轻 主演 经受 住 镜头 考验 大 银幕 上 没有 露怯 表演 可圈可点 全片 情感 都 用力 过猛 之感 仅周 冬雨 哭戏 至少 十场 台词 控诉 过于 直白 保护 世界 这种 话 更显 幼稚 校园 好看 题材 展现 突破 国产片 已属 难得 依旧 难 掩 东野 圭 吾 小说 非常 相似 剧作 平庸 反派 死于 话 几个 主要 角色行为 动机 性格 转变 方面 经不起 推敲 看 完 金马 提名 台片 好 确实 很难 吹 爆 此片 三星 半	28	1.0
文森Vincent	整体 高于 预期 少年 仍旧 嘉年华 过于 仰仗 社会 话题 演员 表演 推动 观影 情绪 作品 视听 风格 实际 没有 嘉年华 完整 流畅 统一 影片 青春 校园 喜欢 间 论述 挺 模糊 导演 编剧 做 处理 无非 不断 累加 戏剧性 冲突 表演 达到 使 观众 完全 进入 一种 无法 客观化 激进 批判 状态 后半段 添油加醋 自我 感动 设计 简直 不要 太 ★ ★ ★	66	1.0
顗礼	正义 无奈 理想 无能 操蛋 世界 谋杀 未来 世界 这样的话 还 愿意 孩子 生 出来 这句 台词 写 出来 拍 出来 镜头 语言 跟前 文 铺垫 呼应 出来 年轻 主创 团队 赢 大 人们 口口声声 说 保护 少年 最后 校园 好看 问题 最 深刻 反思 真的 太 勇敢 中后 段 审讯 室 部分 大概 近十年 不 应该 本世纪 以来 最高 光 青春片 段落 二人 互为补充 空间构图 大人 少年 间 理想 现实 博弈 超高 光 阴阳 脸 对比 声画 契合 度 惊艳 可怕 蒙太奇 太牛 逼 BTW 曾国祥 正式 成为 最 适合 拍 东野 圭 吾 中国 导演	46	1.0
握不住的灵魂	一部 披 校园 好看 爱情片 整齐划一 围观 一意孤行 反派 公正 严明 询问 老派 成熟 前辈 孤立无援 主角 全部 功能性 营造 影片 气氛 导致 整体 感觉 情绪 大于 角色 情绪 共鸣 来自 影片 之外 社会 问题 少数 台词 放置 三天 罐头 汤 听得 跳出 几场 戏 太棒了 男孩 女孩 一起 小北 眼泪 陈念 脸上 陈念 眼泪 小北 脸上 忍住 不 哭 人 永远 比哭 一方 更 难受 导演 很 擅长 激发 两个 演员 间 表演 张力 单独 一人 还好 俩 人 一起 简直 几何 式 增长 这是 表演 上 不可 求 互相 成就 ps 尹 昉 表演 空间 更好 删减 痕迹 导致 地方 转折 莫名其妙 角色 NPC 化 背后 取舍 折中 不得而知 需要 能够 呈现 多样化 世界 需要 更 人 保有 社会 责任 担当 看到 题材 现阶段 必须 鼓励 支持	40	1.0
谢谢你们的鱼	当然 一部 教育部 会 害怕 挺好的 反霸 凌 背后 一种 真正 反叛 精神 一种 成人 世界 不 信任 才 少年 本质 所在 毫不 夸张 地说 本片 林 岭东 学校 风云 之后 最好 讲述 残酷 青春 华语 挺好的 那种 力量 那种 残酷 感 那种 遭遇 删改 依然 汹涌 深刻 都 人 所有 主创 肃然起敬 70 年 之际 大部分 挺好的 都 讲述 世界 会 好成 本片 春天 解释 世界 没有 好 才 更 存在 意义 希望 本片 人 最后 一次 袖手旁观 鼓起勇气 世界 黑暗 发起 反抗 挺好的 力量 不止 力量	125	1.0
skr一下	无意间 哔 站 看到 这部 挺好的 预告片 剪辑 看 之后 觉得 非常 吸引 这么久 挺好的 终于 上映 第一 时间 去 看 总体 来说 不负 期待 剧情 演员 演绎 都 十分 喜欢 周 冬雨 演技 真的 神 看 哭 心 跟着 碎 四字 弟弟 新人 影后 搭戏 表现 非常 不错 眼神 台词 细节 处理 都 很 好 觉得 最 值得 夸 挺好的 配乐 能够 人 瞬间 带入 剧情 里 很 喜欢 导演 小人物 配角 人物 刻画 希望 每个 人 绝望 都 不要 丧失 希望 有时候 觉得 孤立无援 其实 很多 人 都 站 身边	77	1.0
干嘛呢干嘛呢	小黄 鸭 弟弟 组合 诚不欺 周 冬雨 不愧 影后 感觉 七月 安生 上 几个 层次 一帧 都 感染 刘 北山 真的 太帅 想要 小北 千玺 人 惊喜 太大 眼神 真的 会 说话 探监 那场 简直 全场 高光 期待 演员 千玺 更 精彩 曾国祥 导演 太会导 剧情 灯光 音乐 看着 真的 一种 享受 总有 人 会 拼 尽全力 守护 总有 少年 这部 挺好的 里 校园 欺凌 一种 无比 真实 艺术 形式 呈现 大家 没有 逃课 没有 堕胎 没有 车祸 软弱 逃避 恐惧 还好 最后 导演 希望 PS 高考 备考 场景 真的 过于 真实	734	1.0
王祖贤	看 完 更新 今早 看 挺好的 之前 看 热 搜 有个 热 搜 警方 通报 大连 10 岁 女孩 被杀案 看 好 难受 现在 工作 已经 工科 喜欢 看 青少年 犯罪 系列 书籍 可能 是因为 个人 喜欢 可能 是因为 年代 话题 都 关注 不够 更 可能 法律 不够 完善 每次 青少年 犯罪 事件 发生 都 人 难受 悲从中来 挺好的 总体 讲 青少年 心理健康 问题 两个 依靠 孩子 世界 压制 新 生活 很 向往 抱住 希望 救赎 整个 剧情 都 感动 几处 30 加 妇女 差点 溃不成军 两个 主演 感情 都 拿捏 很 好 那种 隐忍 那种 对生 希望 挺好的 好像 关注度 挺 高 希望 大家 戏对 青少年 心理健康 给予 更 更 关注 希望 法律 能够 尽快 完善 希望 每个 孩子 都 生活 阳光 下 希望 每个 孩子 都 怀抱 希望 都 希望	690	1.0
